XID,Project Name,City,Squareyards.com Link
r431967,Trishala Saffron 360,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/trishala-saffron-360/307987/project
r417156,Urban Front,Pune North,https://www.squareyards.com/
r40112,JP Airoli Tower 1,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-jp-airoli-tower-navi-mumbai
r320997,Gini Belvista,Pune East,https://www.squareyards.com/pune-residential-property/prakriti-surbhi-samrudhi/238097/project
r372604,Dhan Residency,Indore,https://www.squareyards.com/projects-in-dhan-khedi-indore
r4082,Gulshan Vivante,Noida,https://www.squareyards.com/noida-residential-property/gulshan-vivante/694/project
r178281,Rihayshi CHS,Dwarka Delhi,https://www.squareyards.com/sale/2-bhk-for-sale-in-sector-12-dwarka-delhi
r65226,Shyam Apartments,Dwarka Delhi,https://www.squareyards.com/sale/2-bhk-for-sale-in-shyam-vihar-delhi
r29196,Manisha Towers,Dwarka Delhi,https://www.squareyards.com/sale/property-for-sale-in-sector-23-dwarka-delhi
r38338,Suncity Township,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/suncity-township-gurgaon/21181/project
r63915,M3M Latitude,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/m3m-latitude/986/project
r2690,Bhoomi Acres,Thane,https://www.squareyards.com/rent/property-for-rent-in-bhoomi-acres-thane
r981,Assotech Windsor Court,Noida,https://www.squareyards.com/noida-residential-property/assotech-windsor-court/658/project/floor-plans
r382759,Madhav Opulence,Surat,https://www.squareyards.com/sale/resale-properties-in-madhav-sankalp-thane
r304,Jaypee Greens The Pavilion Court,Noida,https://www.squareyards.com/noida-residential-property/jaypee-greens-pavilion-court/693/project/floor-plans
r14750,BKS Galaxy,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/galaxy-nebula/51048/project/floor-plans
r7312,Shikharji dreamz,Indore,https://www.squareyards.com/projects-in-kanadiya-indore
r27710,DLF Wellington Estate,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/dlf-the-wellington-estate/331/project
r64686,Kolte Patil 24K Opula,Pune West,https://www.squareyards.com/pune-residential-property/kolte-patil-24k-opula/21711/project/floor-plans
r382153,Ratnabhumi Turquoise Grandeure,Ahmedabad West,Not Found
r435629,NCC Urban Lake Springs,Bangalore South,https://www.squareyards.com/bangalore-residential-property/ncc-urban-lake-springs/312428/project/floor-plans
r276977,K Raheja Artesia,South Mumbai,https://www.squareyards.com/mumbai-residential-property/k-raheja-artesia/13648/project
r30720,Panchshil Satellite Towers,Pune East,https://www.squareyards.com/pune-residential-property/panchshil-satellite-towers/22628/project
r403728,Savvy Marina,Gandhinagar,https://www.squareyards.com/ahmedabad-residential-property/savvy-marina/229850/project
