r416812,Siddha Serena,2 BHK 787 Sq. Ft. Apartment,787 Sq. Ft.,Rs 88.63 Lac
r416812,Siddha Serena,3 BHK 946 Sq. Ft. Apartment,946 Sq. Ft.,Rs 1.07 Cr
r416812,Siddha Serena,3 BHK 1046 Sq. Ft. Apartment,1046 Sq. Ft.,Rs 1.18 Cr
r416812,Siddha Serena,4 BHK 1356 Sq. Ft. Apartment,1356 Sq. Ft.,Rs 1.53 Cr
r416812,Siddha Serena,4 BHK 1415 Sq. Ft. Apartment,1415 Sq. Ft.,Rs 1.59 Cr
r407622,Jupiter Airport Sky City,2 BHK 946 Sq. Ft. Apartment,946 Sq. Ft.,Rs 63.38 Lac
r407622,Jupiter Airport Sky City,2 BHK 985 Sq. Ft. Apartment,985 Sq. Ft.,Rs 66.00 Lac
r407622,Jupiter Airport Sky City,3 BHK 1145 Sq. Ft. Apartment,1145 Sq. Ft.,Rs 76.72 Lac
r407622,Jupiter Airport Sky City,3 BHK 1483 Sq. Ft. Apartment,1483 Sq. Ft.,Rs 99.36 Lac
r400423,PS Vaanya,3 BHK 1464 Sq. Ft. Apartment,1464 Sq. Ft.,Rs 2.04 Cr
r400423,PS Vaanya,4 BHK 1969 Sq. Ft. Apartment,1969 Sq. Ft.,Rs 2.75 Cr
r400423,PS Vaanya,4 BHK 2368 Sq. Ft. Apartment,2368 Sq. Ft.,Rs 3.30 Cr
r400423,PS Vaanya,5 BHK 3186 Sq. Ft. Apartment,3186 Sq. Ft.,Rs 4.43 Cr
r402373,One Meraki,2 BHK 772 Sq. Ft. Apartment,772 Sq. Ft.,Rs 3.00 Cr
r402373,One Meraki,3 BHK 1221 Sq. Ft. Apartment,1221 Sq. Ft.,Rs 5.00 Cr
r407293,Narenn Primark Inspira,2 BHK 1215 Sq. Ft. Apartment,1215 Sq. Ft.,Rs 91.11 Lac
r407293,Narenn Primark Inspira,2 BHK 1240 Sq. Ft. Apartment,1240 Sq. Ft.,Rs 92.99 Lac
r407293,Narenn Primark Inspira,3 BHK 1535 Sq. Ft. Apartment,1535 Sq. Ft.,Rs 1.15 Cr
r407293,Narenn Primark Inspira,3 BHK 2325 Sq. Ft. Apartment,2325 Sq. Ft.,Rs 1.74 Cr
r416812,Siddha Serena,2 BHK 586 Sq. Ft. Apartment,586 Sq. Ft.,Rs 66.00 Lac
r416812,Siddha Serena,2 BHK 787 Sq. Ft. Apartment,787 Sq. Ft.,Rs 88.63 Lac
r416812,Siddha Serena,3 BHK 946 Sq. Ft. Apartment,946 Sq. Ft.,Rs 1.07 Cr
r416812,Siddha Serena,3 BHK 1046 Sq. Ft. Apartment,1046 Sq. Ft.,Rs 1.18 Cr
r416812,Siddha Serena,4 BHK 1356 Sq. Ft. Apartment,1356 Sq. Ft.,Rs 1.53 Cr
r416812,Siddha Serena,4 BHK 1415 Sq. Ft. Apartment,1415 Sq. Ft.,Rs 1.59 Cr
