XID,Project Name,City,Squareyards.com Link
r17888,Odyssey CHS Mumbai,South Mumbai,https://www.squareyards.com/mumbai-residential-property/shapoorji-pallonji-the-odyssey/228449/project
r95006,Puraniks Abitante,Pune West,https://www.squareyards.com/pune-residential-property/puraniks-abitante-fiore/100339/project
r37216,Ambience Caitriona,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/ambience-caitriona/340/project
r1248,Kalpataru Harmony,Pune West,https://www.squareyards.com/pune-residential-property/kalpataru-harmony-pune/2333/project
r59430,Aditya Empress Towers,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/aditya-empress-towers/12359/project
r410152,Experio Platinum Elysium,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/experio-platinum-elysium/226216/project
r368688,Supertech Upcountry,Greater Noida,https://www.squareyards.com/greater-noida-residential-property/supertech-up-country/20791/project
r379127,Hiranandani Highland,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/hiranandani-highland/110810/project
r98900,Voyage To The Stars,Pune South,https://www.squareyards.com/pune-residential-property/acropolis-purple-voyage-to-the-stars/36383/project
r1214,Shipra Srishti,Ghaziabad,https://www.squareyards.com/ghaziabad-residential-property/shipra-srishti/3875/project
r347075,Thapar Suburbia,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/thapar-suburbia/103950/project
r428423,Aerotro Homes,Mohali,https://www.squareyards.com/chandigarh-residential-property/wave-estate/109206/project
r241789,Evening Glory CHS,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/evening-glory/63252/project
r64778,PS Panache,Kolkata East,https://www.squareyards.com/kolkata-residential-property/ps-panache/7571/project
r28262,Amrapali Riverview,Greater Noida,https://www.squareyards.com/greater-noida-residential-property/amrapali-riverview/20779/project
r211,DLF Express Greens,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/dlf-express-greens/21222/project
r419674,Mahavir Arham Mourya,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/mahavir-arham-mourya/234761/project
r401487,Surya Pride,Bangalore South,https://www.squareyards.com/bangalore-residential-property/khb-surya-elegance-apartments/180456/project
r10578,Mahagun Mirabella,Noida,https://www.squareyards.com/noida-residential-property/mahagun-mirabella/585/project
r31630,Everest Hari Om Heritage,Navi Mumbai,https://www.squareyards.com/mumbai-residential-property/everest-apartments/107823/project
r583,Unitech Uniworld Resorts,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/unitech-uniworld-resorts-the-residences/289/project
r271215,Adani Brahma Samsara,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/adani-samsara-vilasa/14119/project
r15100,BramhaCorp Water Bay,Pune East,https://www.squareyards.com/pune-residential-property/bramhacorp-waterbay-c/102110/project
r398551,MICL Aaradhya Parkwood,Mira Bhayandar,https://www.squareyards.com/thane-residential-property/micl-aaradhya-parkwood/192197/project
r378769,Primespace The Address,Pune West,https://www.squareyards.com/pune-residential-property/primespace-the-address/110845/project
r425739,EV 9 Square,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/ev-9-square/246920/project
r34654,Purvanchal Royal Park,Noida,https://www.squareyards.com/noida-residential-property/purvanchal-royal-park/686/project
r316303,Marathon Neoskies,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/marathon-neoskies/100033/project
r426079,Darsshan Promesa Fremont,South Mumbai,https://www.squareyards.com/mumbai-residential-property/promesa-fremont/245719/project
r375272,Ravi Wisteria Square,Mira Bhayandar,https://www.squareyards.com/thane-residential-property/origin-wisteria-square/103205/project
r341465,Shaligram Prime,Ahmedabad West,https://www.squareyards.com/ahmedabad-residential-property/applewoods-township/111980/project
r312237,Rahul Arcus,Pune West,https://www.squareyards.com/pune-residential-property/rahul-arcus/101770/project
r18086,RNA NG Paradise,Mira Bhayandar,https://www.squareyards.com/thane-residential-property/rna-ng-bliss/209277/project
r8360,Godrej Summit,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/godrej-summit/261/project
r130079,Jasmine Springs,Chennai South,https://www.squareyards.com/chennai-residential-property/alliance-jasmine-springs/10538/project
r30956,RK Lunkad Akshay Tower,Pune West,https://www.squareyards.com/pune-residential-property/dynasty/22213/project
r19718,Satyam Harmony,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/satyam-stella/312422/project
r379916,ANP Universe,Pune West,https://www.squareyards.com/pune-residential-property/anp-universe/110653/project
r380265,Signature Global City 81,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/signature-global-city-81/112380/project
r63215,Elixir Millennium Apartments,Noida,https://www.squareyards.com/noida-residential-property/park-view-apartments/107372/project
r424017,Protech Dharapur Phase 3,Guwahati,https://www.squareyards.com/guwahati-residential-property/rang-homes-phase-2/309731/project
r21,Jaypee Greens Star Court,Greater Noida,https://www.squareyards.com/greater-noida-residential-property/jaypee-greens-star-court/1188/project
r265531,Godrej Eternity,Bangalore South,https://www.squareyards.com/bangalore-residential-property/godrej-eternity/8519/project
r407819,Crystal Hitendra Dhamm Shabha Chs,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/crystal-hitendra-dhamm-shabha-chs/217372/project
r26588,Shakuntalam CGHS,Dwarka Delhi,https://www.squareyards.com/delhi-residential-property/shakuntalam-apartments/106689/project
r438192,SS Bhavya Enclave,Indore,https://www.squareyards.com/hyderabad-residential-property/bhavya-evora/226843/project
r380788,Delta Heights,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/shreenathji-delta-heights/115968/project
