XID number,Project Name,City,Region,Builder website,Project Page (Not CP),Magic Bricks Phase 1,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,Housing Phase 1,Housing Phase 2,Housing Phase 3,Housing Phase 4,Square Yards  Phase 1,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4,Other phase XID on 99acres,NA,NA
8130,Paradise Sai Miracle,Navi Mumbai,Navi Mumbai,https://www.paradisegroup.co.in/delivered-projects.php,NA,https://www.magicbricks.com/paradise-sai-miracle-kharghar-navi-mumbai-pdpid-4d4235303139373831,NA,NA,NA,https://housing.com/in/buy/projects/page/856-paradise-sai-miracle-by-paradise-group-in-kharghar,NA,NA,NA,https://www.squareyards.com/navi-mumbai-residential-property/paradise-sai-miracle/6450/project,NA,NA,NA,NA,NA,NA
8590,Indiabulls Golf City,Navi Mumbai,Navi Mumbai,https://www.embassyindia.com/residential-projects/golf-city-savrolli-khalapur/,NA,https://www.magicbricks.com/indiabulls-golf-city-panvel-navi-mumbai-pdpid-4d4235303736393337,NA,NA,NA,https://housing.com/in/buy/projects/page/33129-indiabulls-golf-city-by-indiabulls-in-tambati,NA,NA,NA,https://www.squareyards.com/navi-mumbai-residential-property/indiabulls-golf-city/3120/project,NA,NA,NA,NA,NA,NA
18410,Experion The Westerlies,Delhi(NCR),Delhi NCR,https://www.experionwesterlies.co.in/,NA,https://www.magicbricks.com/experion-the-westerlies-sector-108-gurgaon-pdpid-4d4235323835333437,NA,NA,NA,https://housing.com/in/buy/projects/page/43076-experion-the-westerlies-by-experion-developers-in-sector-108,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/experion-the-westerlies/352/project,NA,NA,NA,NA,NA,NA
320141,Godrej Air,Delhi(NCR),Delhi NCR,https://www.godrejproperties.com/gurugram/residential/godrej-air?utm_source=googlelisting&utm_medium=organic,NA,https://www.magicbricks.com/godrej-air-sector-85-gurgaon-pdpid-4d4235313139343037,NA,NA,NA,https://housing.com/in/buy/projects/page/128461-godrej-air-by-godrej-properties-ltd-in-sector-85,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/godrej-air-sector-85/10317/project,NA,NA,NA,NA,NA,NA
379657,Signature Global City 92,Delhi(NCR),Delhi NCR,https://www.signatureglobal.in/sg-city-92.php,NA,https://www.magicbricks.com/signature-global-city-92-sector-92-gurgaon-pdpid-4d4235333132373533,NA,NA,NA,https://housing.com/in/buy/projects/page/259470-signature-global-city-92-by-signature-global-builders-pvt-ltd-in-sector-92,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/signature-global-city-92/108875/project,NA,NA,NA,NA,NA,NA
412546,DLF Privana South,Delhi(NCR),Delhi NCR,https://www.dlfindia.in/projects/dlf-privana-north.php,NA,https://www.magicbricks.com/dlf-privana-south-sector-77-gurgaon-pdpid-4d4235343235343831,NA,NA,NA,https://housing.com/in/buy/projects/page/35502-dlf-privana-by-dlf-in-sector-77,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/dlf-privana-south/238058/project,NA,NA,NA,NA,NA,NA
297055,Godrej Nature Plus,Delhi(NCR),Delhi NCR,https://www.godrejproperties.com/gurugram/residential/godrej-nature-plus,NA,https://www.magicbricks.com/godrej-nature-plus-sohna-sector-33-gurgaon-pdpid-4d4235313132333731,NA,NA,NA,https://housing.com/in/buy/projects/page/53151-godrej-nature-plus-by-godrej-properties-ltd-in-sector-33-sohna,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/godrej-nature-plus/9676/project,NA,NA,NA,NA,NA,NA
378934,Signature Global City,Gurgaon,Gurugram,https://www.signatureglobal.in/sg-city-37d.php,NA,https://www.magicbricks.com/signature-global-city-37d-sector-37d-gurgaon-pdpid-4d4235323933343339,NA,NA,NA,https://housing.com/in/buy/projects/page/260949-signature-global-city-37d-1-by-signature-global-builders-pvt-ltd-in-sector-37d,https://housing.com/in/buy/projects/page/281963-signature-global-city-37d-ii-by-signature-global-builders-pvt-ltd-in-sector-37d,https://housing.com/in/buy/projects/page/291847-signature-global-city-37d-ii-2-by-signature-global-builders-pvt-ltd-in-sector-37d,NA,https://www.squareyards.com/gurgaon-residential-property/signature-global-city/108011/project,NA,NA,NA,NA,NA,NA
328903,L and T Seawoods Residences,Navi Mumbai,Navi Mumbai,https://www.lntrealty.com/residences/2-3-bhk-flats-in-seawoods-navi-mumbai/,NA,https://www.magicbricks.com/l&t-seawoods-residences-nerul-navi-mumbai-pdpid-4d4235313236333435,NA,NA,NA,https://housing.com/in/buy/projects/page/332605-l-and-t-seawoods-residences-by-lt-realty-in-nerul,https://housing.com/in/buy/projects/page/150170-l-and-t-seawoods-residences-phase-i-by-lt-realty-in-seawoods,https://housing.com/in/buy/projects/page/252102-l-and-t-seawoods-residences-north-towers-by-lt-realty-in-nerul,NA,https://www.squareyards.com/navi-mumbai-residential-property/l-and-t-seawoods-residences/10544/project,https://www.squareyards.com/navi-mumbai-residential-property/l-and-t-seawoods-residences-phase-2/101386/project,https://www.squareyards.com/navi-mumbai-residential-property/l-and-t-seawoods-residences-phase-1-part-a/100254/project,https://www.squareyards.com/navi-mumbai-residential-property/l-and-t-seawoods-residences-phase-1-part-b/100266/project,NA,NA,NA
153,KLJ Greens,Faridabad,Delhi NCR,https://kljdevelopers.com/faridabad.php?faridabad=klj-greens,NA,https://www.magicbricks.com/klj-greens-sector-77-faridabad-pdpid-4d4235303238383537,NA,NA,NA,https://housing.com/in/buy/projects/page/1960-klj-greens-by-klj-developers-pvt-ltd-in-sector-77,NA,NA,NA,https://www.squareyards.com/faridabad-residential-property/klj-greens/443/project,NA,NA,NA,NA,NA,NA
