project_id,Phase,proj_name,proj_city,Builder website,Project Page,MB  Phase 1,MB  Phase 2,MB  Phase 3,MB  Phase 4,Housing  1,Housing  2,Housing  3,Housing  4,SQ   Phase 1,SQ   Phase 2,SQ   Phase 3,SQ   Phase 4
403945,Single phase,Irish Platinum,Noida,https://www.irishplatinum.com/,NA,https://www.magicbricks.com/irish-platinum-vaidpura-greater-noida-pdpid-4d4235343230373431,NA,NA,NA,https://housing.com/in/buy/projects/page/317382-irish-platinum-by-irish-infrastructure-private-limited-in-sector-10,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/irish-platinum/245846/project,NA,NA,NA
7662,Single phase,Paramount Golfforeste,Noida,https://www.paramountgolfforestevillas.co.in/,NA,https://www.magicbricks.com/paramount-golfforeste-zeta-greater-noida-pdpid-4d4235303735363439,NA,NA,NA,https://housing.com/in/buy/projects/page/8818-paramount-golfforeste-villas-by-paramount-propbuild-pvt-ltd-in-surajpur,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/paramount-golfforeste-villas/9152/project,NA,NA,NA
10412,Single phase,Purvanchal Royal City,Noida,https://www.purvanchalprojects.com/purvanchal-royal-city.php,NA,https://www.magicbricks.com/purvanchal-royal-city-chi-5-greater-noida-pdpid-4d4235303238353639,NA,NA,NA,https://housing.com/in/buy/projects/page/202146-purvanchal-royal-city-phase-2-by-purvanchal-projects-pvt-ltd-in-chi-v-greater-noida,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/purvanchal-royal-city/1183/project,NA,NA,NA
302889,Single phase,HomeKraft Happy Trails,Noida,https://homekraft.in/,NA,https://www.magicbricks.com/ats-homekraft-happy-trails-noida-extension-noida-pdpid-4d4235313134323231,NA,NA,NA,https://housing.com/in/buy/projects/page/95604-ats-happy-trails-by-ats-homekraft-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ats-happy-trails/10038/project,NA,NA,NA
123483,Single phase,ACE Divino,Noida,http://acedivinos.in/,NA,https://www.magicbricks.com/ace-divino-noida-extension-noida-pdpid-4d4235303835303737,NA,NA,NA,https://housing.com/in/buy/projects/page/50457-ace-group-divino-by-ace-group-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ace-divino/10048/project,NA,NA,NA
12900,Single phase,Fusion Homes,Noida,http://fusionhomes.in/,NA,https://www.magicbricks.com/fusion-homes-noida-extension-noida-pdpid-4d4235303235323339,NA,NA,NA,https://housing.com/in/buy/projects/page/1929-fusion-homes-by-fusion-buildtech-pvt-ltd-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/fusion-homes/939/project,NA,NA,NA
10356,Single phase,Oasis GrandStand,Noida,https://www.squareyards.com/greater-noida-residential-property/oasis-grandstand/1236/project,NA,https://www.magicbricks.com/oasis-grandstand-yamuna-expressway-greater-noida-pdpid-4d4235303230303131,NA,NA,NA,https://housing.com/in/buy/projects/page/247-oasis-grandstand-by-oasis-buildmart-india-pvt-ltd-in-yeida,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/oasis-grandstand/1236/project,NA,NA,NA
10412,Single phase,Purvanchal Royal City,Noida,https://www.purvanchalprojects.com/purvanchal-royal-city.php,NA,https://www.magicbricks.com/purvanchal-royal-city-chi-5-greater-noida-pdpid-4d4235303238353639,NA,NA,NA,https://housing.com/in/buy/projects/page/23313-purvanchal-royal-city-by-purvanchal-projects-pvt-ltd-in-chi-v-greater-noida,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/purvanchal-royal-city/1183/project,NA,NA,NA
333811,Single phase,ATS Nobility,Noida,https://www.ats.ind.in/projects-in-greater-noida/ats-homekraft-nobility-sector-4/,NA,https://www.magicbricks.com/ats-nobility-noida-extension-noida-pdpid-4d4235313234333731,NA,NA,NA,https://housing.com/in/buy/projects/page/45638-ats-nobility-by-ats-infrastructure-limited-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ats-nobility/10909/project,NA,NA,NA
425033,Single phase,Ace Terra,Noida,http://ace-terra.co.in/,NA,https://www.magicbricks.com/ace-terra-yamuna-expressway-greater-noida-pdpid-4d4235343230333733,NA,NA,NA,https://housing.com/in/buy/projects/page/319576-ace-terra-by-ace-group-in-yeida,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ace-terra/246906/project,NA,NA,NA
430588,Single phase,CRC Maesta,Noida,https://www.crcgroup.in/maesta/,NA,https://www.magicbricks.com/crc-maesta-sector-1-greater-noida-pdpid-4d4235343233373631,NA,NA,NA,https://housing.com/in/buy/projects/page/326906-crc-maesta-by-crc-group-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/crc-maesta/305975/project,NA,NA,NA
327273,Single phase,County 107,Noida,https://www.countygroup.in/county107/mobile/,,https://www.magicbricks.com/county-107-sector-107-noida-pdpid-4d4235313234373439,,,,https://housing.com/in/buy/projects/page/198060-county-107-by-county-group-in-sector-107,,,,https://www.squareyards.com/noida-residential-property/aba-county-107/10931/project,,,
400436,Single phase,Ivory County,Noida,https://www.countygroup.in/ivorycounty/,,https://www.magicbricks.com/ivory-county-sector-115-noida-pdpid-4d4235343137313831,,,,https://housing.com/in/buy/projects/page/319660-ivory-county-gold-by-county-group-in-sector-115,,,,https://www.squareyards.com/noida-residential-property/ivory-county/231028/project,,,
7662,Single phase,Paramount Golfforeste,Noida,https://www.paramountgolfforestevillas.co.in/,,https://www.magicbricks.com/paramount-golfforeste-zeta-greater-noida-pdpid-4d4235303735363439,,,,https://housing.com/in/buy/projects/page/8818-paramount-golfforeste-villas-by-paramount-propbuild-pvt-ltd-in-surajpur,,,,https://www.squareyards.com/greater-noida-residential-property/paramount-golfforeste/1182/project,,,
123483,Single phase,ACE Divino,Noida,https://acegroupindia.com/ace-divino-overview.php,,https://www.magicbricks.com/ace-divino-noida-extension-noida-pdpid-4d4235303835303737,,,,https://housing.com/in/buy/projects/page/50457-ace-group-divino-by-ace-group-in-noida-extension,,,,https://www.squareyards.com/greater-noida-residential-property/ace-divino/10048/project,,,
425712,Single phase,SKA Destiny One,Noida,https://www.skadestiny.in/,,https://www.magicbricks.com/ska-destiny-one-zeta-greater-noida-pdpid-4d4235343139363333,,,,https://housing.com/in/buy/projects/page/319699-ska-destiny-one-by-ska-group-in-zeta-i-greater-noida,,,,https://www.squareyards.com/greater-noida-residential-property/ska-destiny-one/246909/project,,,
