xid,name ,city,phase,url_squareyard
400423,Vaanya,Kolkata,Single phase,https://www.squareyards.com/kolkata-residential-property/ps-vaanya/211024/project
400435,CRC Joyous,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/crc-joyous/111068/project
400436,Ivory County,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ivory-county/231028/project
400481,DAC Medallion,Chennai,Single phase,https://www.squareyards.com/chennai-residential-property/dac-medallion/239596/project
400534,Amolik Aster Woods,Faridabad,Single phase,https://www.squareyards.com/faridabad-residential-property/amolik-aster-woods/217581/project
400934,Visions Arsha,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/vision-arsha/220707/project
401138,Roswalt Zaiden,Western Mumbai,Single phase,https://www.squareyards.com/mumbai-residential-property/roswalt-zaiden/205689/project
401530,Raj Bay Vista,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/snn-raj-bay-vista/220265/project
401542,Casagrand Aria,Chennai,Single phase,https://www.squareyards.com/chennai-residential-property/casagrand-aria/234740/project
401645,Riviera Majestica,Ahmedabad West,Single phase,https://www.squareyards.com/ahmedabad-residential-property/goyal-riviera-majestica/228545/project
401648,Keya Spring,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/keya-springs/234530/project
401796,Bramhacorp August Towers,Pune East,Single phase,https://www.squareyards.com/pune-residential-property/bramhacorp-august-towers/210649/project
401902,Bhagwati Elysia 2,Navi Mumbai,Single phase,https://www.squareyards.com/navi-mumbai-residential-property/bhagwati-elysia/143592/project
402370,Vasavi Crown East,Hyderabad,Single phase,https://www.squareyards.com/hyderabad-residential-property/vasavi-crown-east/217337/project
402421,Mahidhara Harmony,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/mahidhara-harmony/210647/project
402429,Mathapathi Grand Field,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/mathapathi-grand-field/220875/project
402612,Kopren Park View,Ahmedabad (All),Single phase,https://www.squareyards.com/ahmedabad-residential-property/shoolin-kopren-park-view/250625/project
402728,Sublime Spring Elmas,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/sublime-spring-elmas/217291/project
402881,SNR Safa,Bangalore,Single phase,https://www.squareyards.com/bangalore-residential-property/snr-safa/212076/project
402904,Godrej Athena,Bangalore East,Single phase,https://www.squareyards.com/bangalore-residential-property/godrej-athena/216095/project
402982,Gala Ikebana,Ahmedabad West,Single phase,https://www.squareyards.com/ahmedabad-residential-property/gala-ikebana/244487/project
