District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No,Tehsil,Street/ Locality,Open Area (In sq. meters),Total Area Of Project (In sq. meters),Sanctioned Number Of Apartments / Plots
Jaipur,Ashiana Amantran Phase III,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2021-3959,RAJ/P/2021/1778 (23/12/2021),Jaipur,"Lalkothi, Tonk Road",11052.31,33607.37,0
Jaipur,Siddha Happyville - Phase I,GROUP HOUSING,SIDDHA INFRA PROJECTS PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3913,RAJ/P/2021/1753 (04/12/2021),Jaipur,VAISHALI NAGAR,2702.32,51922.30,0
Jaipur,Jewel of India Phase-2,GROUP HOUSING,Suncity Projects Private Limited,RAJ-RERA-APP-P-2021-3785,RAJ/P/2021/1712 (02/11/2021),Jaipur,"JLN Marg,Jaipur",19198.32,71618.00,0
Jaipur,GALAXY ENCLAVE THE URBAN VILLAGE 5,GROUP HOUSING,GALAXY REALMART PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3652,RAJ/P/2021/1698 (08/10/2021),Jaipur,"GEM ENCLAVE, PRADAHAN MARG",0.00,4421.55,0
Jaipur,Trimurty Divinity,GROUP HOUSING,TRIMURTY COLONIZERS AND BUILDERS PRIVATE LIMITED,RAJ-RERA-APP-P-2021-3517,RAJ/P/2021/1622 (20/08/2021),Jaipur,VINOBA MARG C-SCHEME,1646.63,2516.44,-59
Jaipur,"Kedia's ""THE KOTHI"" Phase 2",GROUP HOUSING,Kedia Real Estate LLP,RAJ-RERA-APP-P-2021-3157,RAJ/P/2021/1526 (09/04/2021),Jaipur,Ganesh Nagar 6th A Benar Road Near Nadi Ka Phatak Jaipur,24584.80,147625.00,0
Jaipur,"Kedia's ""THE KOTHI""",GROUP HOUSING,Kedia Real Estate LLP,RAJ-RERA-APP-P-2021-3153,RAJ/P/2021/1523 (09/04/2021),Jaipur,Ganesh Nagar 6th A Benar Road Near Nadi Ka Phatak Jaipur,41849.31,147625.40,0
Jaipur,VARDHMAN’S KINGS COURT,GROUP HOUSING,RICHWELL ENTERPRISES PRIVATE LIMITED,RAJ-RERA-APP-P-2021-2962,RAJ/P/2021/1473 (02/03/2021),Jaipur,"SHYAM NAGAR, JAIPUR",9889.34,15486.78,0
Jaipur,GALAXY ENCLAVE THE URBAN VILLAGE,GROUP HOUSING,GALAXY ENERGY SOLUTIONS LLP,RAJ-RERA-APP-P-2020-2818,RAJ/P/2021/1450 (06/02/2021),Jaipur,"PRADHAN MARG, MALVIYA NAGA",0.00,7431.89,0
Alwar,Ashiana Tarang Phase III,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2020-2636,RAJ/P/2020/1407 (11/12/2020),Jaipur,"Lalkothi, Tonk Road",2387.48,48478.88,0
