Registration Number,Building Name,Floor Details
PBRERA-SAS81-PR0813,BLOCK 03,"Number of Floor/Plots Currently Sanctioned: 30
Number of Floor/Plots Proposed: 30
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0813,SHOP,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0813,CLUB,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0799,TOWER 10,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0799,TOWER 11,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0799,TOWER 12,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0795,COMMERCIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 43
Number of Floor/Plots Proposed: 43
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0795,PLOT FOR INDEPENDENT FLOORS,"Number of Floor/Plots Currently Sanctioned: 60
Number of Floor/Plots Proposed: 60
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0795,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 305
Number of Floor/Plots Proposed: 305
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0765,TOWER-D OR E,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0757,TOWER 1,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0757,TOWER 2,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0757,TOWER 3,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0757,TOWER 4,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
