"projectId","rescom","id"
"286453","RESIDENTIAL","223059757"
"286453","RESIDENTIAL","223059757"
"320699","RESIDENTIAL","191088679"
"24728","RESIDENTIAL","189233181"
"4362","RESIDENTIAL","28837675"
"129617","RESIDENTIAL","222144227"
"129617","RESIDENTIAL","222144227"
"63941","RESIDENTIAL","191088323"
"249171","RESIDENTIAL","222609597"
"249171","RESIDENTIAL","222609597"
"106587","RESIDENTIAL","189471817"
"297","RESIDENTIAL","191087975"
"26410","RESIDENTIAL","198160183"
"23076","RESIDENTIAL","188798463"
"42202","RESIDENTIAL","158161811"
"43280","RESIDENTIAL","216618173"
"43280","RESIDENTIAL","216618173"
"295955","RESIDENTIAL","223058931"
"295955","RESIDENTIAL","223058931"
"309741","RESIDENTIAL","170206187"
"358","COMMERCIAL","160385389"
"261208","RESIDENTIAL","190856227"
"275547","RESIDENTIAL","188798839"
"19734","RESIDENTIAL","38636199"
"262494","RESIDENTIAL","99799909"
"190173","RESIDENTIAL","189470175"
"13306","RESIDENTIAL","27120866"
"330613","RESIDENTIAL","191291763"
"267689","RESIDENTIAL","184864179"
"151981","RESIDENTIAL","158162351"
"200805","RESIDENTIAL","189470569"
"125003","RESIDENTIAL","129914967"
"63305","RESIDENTIAL","205099781"
"63305","RESIDENTIAL","205099781"
"6056","RESIDENTIAL","189721437"
"115597","RESIDENTIAL","188338029"
"268637","RESIDENTIAL","222850077"
"268637","RESIDENTIAL","222850077"
"60651","RESIDENTIAL","189234715"
"48248","RESIDENTIAL","218030047"
"48248","RESIDENTIAL","218030047"
"282455","RESIDENTIAL","223058211"
"282455","RESIDENTIAL","223058211"
"267894","RESIDENTIAL","222850005"
"267894","RESIDENTIAL","222850005"
"55422","RESIDENTIAL","163279355"
"209727","RESIDENTIAL","52700082"
"330905","RESIDENTIAL","212075689"
"330905","RESIDENTIAL","212075689"
"268907","RESIDENTIAL","189478459"
"100727","RESIDENTIAL","205807667"
"100727","RESIDENTIAL","205807667"
"43046","RESIDENTIAL","134996099"
"271609","RESIDENTIAL","158162987"
"42516","RESIDENTIAL","120573867"
"13522","RESIDENTIAL","188795945"
"39442","RESIDENTIAL","189477621"
"36338","RESIDENTIAL","223861693"
"36338","RESIDENTIAL","223861693"
"272153","RESIDENTIAL","222849443"
"272153","RESIDENTIAL","222849443"
"110695","RESIDENTIAL","175322007"
"291029","RESIDENTIAL","221933335"
"291029","RESIDENTIAL","221933335"
"125879","RESIDENTIAL","165190925"
"271835","RESIDENTIAL","222849275"
"271835","RESIDENTIAL","222849275"
"52672","RESIDENTIAL","189234357"
"126033","RESIDENTIAL","190853923"
"41828","RESIDENTIAL","200226687"
"237020","RESIDENTIAL","189472973"
"69478","RESIDENTIAL","128347397"
"78037","RESIDENTIAL","158163627"
"37362","RESIDENTIAL","189020083"
"12036","RESIDENTIAL","188795829"
"29066","RESIDENTIAL","223059157"
"29066","RESIDENTIAL","223059157"
"346607","RESIDENTIAL","222611145"
"346607","RESIDENTIAL","222611145"
"9772","RESIDENTIAL","223862241"
"9772","RESIDENTIAL","223862241"
"61259","RESIDENTIAL","189723479"
"80106","RESIDENTIAL","189235255"
"135491","RESIDENTIAL","189473955"
"336221","RESIDENTIAL","189904491"
"9794","RESIDENTIAL","38635995"
"137","RESIDENTIAL","188791267"
"11374","RESIDENTIAL","179920869"
"212497","RESIDENTIAL","38423831"
"377","RESIDENTIAL","140242685"
"2478","RESIDENTIAL","222608757"
"2478","RESIDENTIAL","222608757"
"159341","RESIDENTIAL","189899127"
"69234","RESIDENTIAL","59199929"
"324345","RESIDENTIAL","216617707"
"324345","RESIDENTIAL","216617707"
"124885","RESIDENTIAL","30110689"
"69640","RESIDENTIAL","189477971"
"25086","RESIDENTIAL","188798891"
"330217","RESIDENTIAL","189903177"
"275375","RESIDENTIAL","223057351"
"275375","RESIDENTIAL","223057351"
"340949","RESIDENTIAL","223863161"
"340949","RESIDENTIAL","223863161"
"305270","RESIDENTIAL","223404413"
"305270","RESIDENTIAL","223404413"
"3926","RESIDENTIAL","189020705"
"333731","RESIDENTIAL","205100523"
"333731","RESIDENTIAL","205100523"
"277209","RESIDENTIAL","189722707"
"22594","RESIDENTIAL","188798387"
"72","COMMERCIAL","160385355"
"326527","RESIDENTIAL","189901369"
"42478","RESIDENTIAL","140399083"
"31802","RESIDENTIAL","212074339"
"31802","RESIDENTIAL","212074339"
"268183","RESIDENTIAL","222847689"
"268183","RESIDENTIAL","222847689"
"32248","RESIDENTIAL","188799899"
"66424","RESIDENTIAL","189235817"
"292087","RESIDENTIAL","223861515"
"292087","RESIDENTIAL","223861515"
"32520","RESIDENTIAL","140242209"
"194179","RESIDENTIAL","222369897"
"194179","RESIDENTIAL","222369897"
"40264","RESIDENTIAL","125544721"
"968","RESIDENTIAL","223858259"
"968","RESIDENTIAL","223858259"
"120443","RESIDENTIAL","170206039"
"15376","RESIDENTIAL","188796197"
"135179","RESIDENTIAL","190416105"
"274151","RESIDENTIAL","191088979"
"174105","RESIDENTIAL","34573247"
"339137","RESIDENTIAL","196377581"
"208869","RESIDENTIAL","158163993"
"53816","RESIDENTIAL","189234435"
"60030","RESIDENTIAL","189478131"
"124851","RESIDENTIAL","189478133"
"6358","RESIDENTIAL","188794447"
"27634","RESIDENTIAL","223863183"
"27634","RESIDENTIAL","223863183"
"113513","RESIDENTIAL","222143879"
"113513","RESIDENTIAL","222143879"
"4684","RESIDENTIAL","223626725"
"4684","RESIDENTIAL","223626725"
"120877","RESIDENTIAL","222144009"
"120877","RESIDENTIAL","222144009"
"63217","RESIDENTIAL","189474821"
"261014","RESIDENTIAL","189477273"
"78819","RESIDENTIAL","189475403"
"24548","RESIDENTIAL","158160719"
"146233","RESIDENTIAL","190856169"
"279173","RESIDENTIAL","146955139"
"46822","RESIDENTIAL","199371085"
"64752","RESIDENTIAL","223860407"
"64752","RESIDENTIAL","223860407"
"106995","RESIDENTIAL","35982799"
"246441","RESIDENTIAL","189022697"
"77979","RESIDENTIAL","158161749"
"7406","RESIDENTIAL","192540201"
"226807","RESIDENTIAL","189899189"
"169825","RESIDENTIAL","189469075"
