XID number,Project Name,City,Builder website,Project Page (Not CP),Magic Bricks Phase 1,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,Housing Phase 1,Housing Phase 2,Housing Phase 3,Housing Phase 4,Square Yards  Phase 1,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4,Other phase XID on 99acres,,,,72Projects
403945,Irish Platinum,Noida,https://www.irishplatinum.com/,NA,https://www.magicbricks.com/irish-platinum-vaidpura-greater-noida-pdpid-4d4235343230373431,NA,NA,NA,https://housing.com/in/buy/projects/page/317382-irish-platinum-by-irish-infrastructure-private-limited-in-sector-10,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/irish-platinum/245846/project,NA,NA,NA,,,,,403945
405529,Navraj The Antalyas,Gurugram,https://navrajofficial.com/,NA,https://www.magicbricks.com/navraj-the-antalyas-sector-37d-gurgaon-pdpid-4d4235343131333439,NA,NA,NA,https://housing.com/in/buy/projects/page/297932-navraj-the-antalya-by-navraj-builder-in-sector-37d,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/navraj-the-antalyas/228575/project,NA,NA,NA,,,,,405529
419936,Godrej Aristocrat,Gurugram,https://www.godrejproperties.com/gurugram/residential/godrej-aristocrat,NA,https://www.magicbricks.com/godrej-aristocrat-sector-49-gurgaon-pdpid-4d4235343138383333,NA,NA,NA,https://housing.com/in/buy/projects/page/310951-godrej-aristocrat-by-godrej-properties-ltd-in-sector-49,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/godrej-aristocrat/235556/project,NA,NA,NA,,,,,419936
427191,Ganga Anantam,Gurugram,https://www.gangarealty.com/,NA,https://www.magicbricks.com/ganga-anantam-sector-85-gurgaon-pdpid-4d4235343231393237,NA,NA,NA,https://housing.com/in/buy/projects/page/319501-anantam-by-ganga-realty-in-sector-85,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/ganga-anantam/249821/project,NA,NA,NA,,,,,427191
427906,Sobha Altus,Gurugram,https://www.sobha.com/delhi-ncr/sobha-altus-sector-106-gurgaon/,NA,https://www.magicbricks.com/sobha-altus-sector-106-gurgaon-pdpid-4d4235343231373337,NA,NA,NA,https://housing.com/in/buy/projects/page/323687-sobha-altus-by-sobha-limited-in-sector-106,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/sobha-altus/249540/project,NA,NA,NA,,,,,427906
26134,BPTP Amstoria,Gurugram,https://www.bptp.com/,NA,https://www.magicbricks.com/bptp-amstoria-sector-102-gurgaon-pdpid-4d4235303233313930,NA,NA,NA,https://housing.com/in/buy/projects/page/43075-bptp-amstoria-country-floor-by-bptp-limited-in-sector-102,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/bptp-amstoria-country-floor/226/project,NA,NA,NA,,,,,26134
5456,Puri Emerald Bay,Gurugram,https://www.puriconstructions.com/project-details/emerald-bay,NA,https://www.magicbricks.com/puri-emerald-bay-sector-104-gurgaon-pdpid-4d4235303139333433,NA,NA,NA,https://housing.com/in/buy/projects/page/1290-puri-emerald-bay-by-puri-constructions-pvt-ltd-in-sector-104,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/puri-emerald-bay/238/project,NA,NA,NA,,,,,5456
146207,Saan Verdante,Gurugram,http://www.saanverdante.in/,NA,https://www.magicbricks.com/saan-verdante-sector-95-gurgaon-pdpid-4d4235303830323837,NA,NA,NA,https://housing.com/in/buy/projects/page/17275-saan-verdante-by-saan-group-in-sector-95,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/saan-verdante/8632/project,NA,NA,NA,,,,,146207
412546,DLF Privana South,Gurugram,https://www.godrejproperties.com/gurugram/residential/godrej-nature-plus,NA,https://www.magicbricks.com/dlf-privana-south-sector-77-gurgaon-pdpid-4d4235343235343831,NA,NA,NA,https://housing.com/in/buy/projects/page/35502-dlf-privana-by-dlf-in-sector-77,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/dlf-privana-south/238058/project,NA,NA,NA,,,,,412546
423388,Puri Diplomatic Residences,Gurugram,http://puri-diplomaticresidences.co.in/,NA,https://www.magicbricks.com/puri-diplomatic-residences-sector-111-gurgaon-pdpid-4d4235343139333031,NA,NA,NA,https://housing.com/in/buy/projects/page/317335-puri-diplomatic-residences-by-puri-constructions-pvt-ltd-in-sector-111,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/puri-diplomatic-residences/245971/project,NA,NA,NA,,,,,423388
423473,Anant Raj The Estate Residences,Gurugram,https://theestateresidences.com/,NA,https://www.magicbricks.com/anant-the-estate-residences-sector-63a-gurgaon-pdpid-4d4235343139343033,NA,NA,NA,https://housing.com/in/buy/projects/page/319077-anant-raj-the-estate-residences-by-anant-raj-limited-in-kadarpur,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/anant-raj-the-estate-residences/244338/project,NA,NA,NA,,,,,423473
302889,HomeKraft Happy Trails,Noida,https://homekraft.in/,NA,https://www.magicbricks.com/ats-homekraft-happy-trails-noida-extension-noida-pdpid-4d4235313134323231,NA,NA,NA,https://housing.com/in/buy/projects/page/95604-ats-happy-trails-by-ats-homekraft-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ats-happy-trails/10038/project,NA,NA,NA,,,,,302889
