Index,data_point_name,99acres,C1,C2,C3,,,,,,,
370898,Project Area,106.66 acres,42 Hectare,10.12 acres,103 Acres,,,,,,,
430588,Project Name,CRC Maesta,CRC Maesta,CRC Maesta,CRC Maesta,,,,,,,
432470,Project Name,Mahagun My Laagoon,Mahagun My Laagoon,Mahagun My Laagoon Phase 1,Mahagun My Laagoon,,,,,,,
298821,Project Name,Kalpataru Vista,Kalpataru Vista,Kalpataru Vista,Kalpataru Vista,,,,,,,
410631,Project Name,M3M The Cullinan,M3M The Cullinan,M3M The Cullinan,M3M The Cullinan,,,,,,,
418319,Project Name,Brigade Sanctuary,Brigade Sanctuary,Brigade Sanctuary,Brigade Sanctuary,,,,,,,
348347,Project Name,Kalpataru Elitus,Kalpataru Elitus,Kalpataru Elitus,Kalpataru Elitus,,,,,,,
387255,Project Name,L and T Elixir Reserve,L&T Elixir Reserve,L And T Elixir Reserve,LnT Elixir Reserve,,,,,,,
272653,Project Name,LnT Zen at 77 Crossroads,Zen 77 Crossroads by L & T Realty,77 Crossroads,Not Available,,,,,,,
334709,Project Name,Runwal Pinnacle,Runwal Pinnacle,Runwal Pinnacle,Runwal Pinnacle,,,,,,,
431965,Project Name,Godrej Riverine,Gaur NYC Residences,Gaursons NYC Residencies,Gaur NYC Residences,,,,,,,
431964,Project Name,Godrej Riverine,Godrej Riverine,Godrej Riverine,Godrej Riverine,,,,,,,
425268,Project Name,Godrej Jardinia,Godrej Jardinia,Godrej Jardinia,Godrej Jardinia,,,,,,,
394731,Project Name,L and T Island Cove,L and T Island Cove,L And T Island Cove,LnT Island Cove,,,,,,,
88315,Project Name,Ruparel Vivanza,Ruparel Vivanza,RUPAREL VIVANZA,Ruparel Vivanza,,,,,,,
370898,Project Name,The Highlands Godrej City,The Highlands Godrej City,The Highlands Godrej City,Godrej The Highlands,,,,,,,
430588,Project Size - Tower Count,5,9,9 Buildings,Not Available,,,,,,,
432470,Project Size - Tower Count,7,6,7,Not available,,,,,,,
298821,Project Size - Tower Count,2,9,9 Buildings,Not Available,,,,,,,
410631,Project Size - Tower Count,5,5,5 Buildings,Not Available,,,,,,,
418319,Project Size - Tower Count,8,8,8,Not Available,,,,,,,
348347,Project Size - Tower Count,3,3,1,Not Available,,,,,,,
387255,Project Size - Tower Count,7,6,1 Building,Not Available,,,,,,,
272653,Project Size - Tower Count,6,3,Not Available,Not Available,,,,,,,
334709,Project Size - Tower Count,5,5,5 Buildings,Not Available,,,,,,,
431965,Project Size - Tower Count,4,Not available,10,Not available,,,,,,,
431964,Project Size - Tower Count,4,Not available,1,Not available,,,,,,,
425268,Project Size - Tower Count,5,5,5 Buildings,Not Available,,,,,,,
394731,Project Size - Tower Count,2,2,1,1,,,,,,,
88315,Project Size - Tower Count,1,1,1,Not Available,,,,,,,
370898,Project Size - Tower Count,7,7,1,Not Available,,,,,,,
430588,Project Size - Unit Count,358,506,506 units,549 units,,,,,,,
432470,Project Size - Unit Count,712,712,688,712,,,,,,,
298821,Project Size - Unit Count,248,506,506 units,549 units,,,,,,,
410631,Project Size - Unit Count,374,374,374 units,2281 units,,,,,,,
418319,Project Size - Unit Count,1275,1275,1275,1275 units,,,,,,,
348347,Project Size - Unit Count,586,587,587 units,620,,,,,,,
387255,Project Size - Unit Count,1062,300,190 units,1061,,,,,,,
272653,Project Size - Unit Count,1653,978,1653 units,Not Available,,,,,,,
334709,Project Size - Unit Count,1107,1107,1190 units,1107,,,,,,,
431965,Project Size - Unit Count,416,Not available,1162 ,1163,,,,,,,
431964,Project Size - Unit Count,416,Not available,276,416,,,,,,,
425268,Project Size - Unit Count,350,720,350,700,,,,,,,
394731,Project Size - Unit Count,460,490,172,490,,,,,,,
88315,Project Size - Unit Count,662,619,175,662 units,,,,,,,
370898,Project Size - Unit Count,2095,292,2095 units,1768,,,,,,,
430588,Property Type,Apartment,Flat,"4, 5 BHK Apartments","4, 5 BHK Flats",,,,,,,
432470,Property Type,Apartment,Flats,Apartments,Flats,,,,,,,
298821,Property Type,Apartment,Flat,"4, 5 BHK Apartments","4, 5 BHK Flats",,,,,,,
410631,Property Type,Apartment,Flats,Apartment,Flats,,,,,,,
418319,Property Type,Apartment,Flat,"3, 4 BHK Apartments","1, 3, 4 BHK Flats",,,,,,,
348347,Property Type,0,Flats,3 BHK Apartment,"1, 2, 3 BHK Flats",,,,,,,
387255,Property Type,Apartment,"1,2,3,4 BHK Flats","2, 3 BHK Apartments","2, 3, 4 BHK Flats",,,,,,,
272653,Property Type,"Apartment, Studio Apartment","Flat, Studio Apartment","1, 2 BHK Apartments",Not Available,,,,,,,
334709,Property Type,0,"1,2,3 BHK Flats , Studio Apartment","1 RK, Studio, 1, 2, 3 BHK Studio Apartment,Apartments","1, 2, 3 BHK Flats",,,,,,,
431965,Property Type,Apartment,Apartment,Apartments,Apartment,,,,,,,
431964,Property Type,Apartment,Apartment,Apartment,Apartment,,,,,,,
425268,Property Type,Apartment,Apartment,Apartment,Apartment,,,,,,,
394731,Property Type,Apartment,"2,3 BHK Flats","2, 3 BHK Apartments","2, 3 BHK Flats",,,,,,,
88315,Property Type,Apartment,Flat,"2, 3 BHK Apartments","1, 2, 3 BHK Flats",,,,,,,
370898,Property Type,NA,"1,2,3 BHK Flats","1, 2, 3 BHK Apartments","1, 2, 3 BHK Flats",,,,,,,
430588,RERA,UPRERAPRJ724518/07/2024,UPRERAPRJ734569,UPRERAPRJ734569,UPRERAPRJ734569,,,,,,,
432470,RERA,UPRERAPRJ999197/09/2024,UPRERAPRJ999197/09/2024|-1,UPRERAPRJ999197/09/2024,UPRERAPRJ999197,,,,,,,
298821,RERA,UPRERAPRJ14980,UPRERAPRJ734569,UPRERAPRJ734569,UPRERAPRJ734569,,,,,,,
410631,RERA,UPRERAPRJ442214,UPRERAPRJ442214,UPRERAPRJ442214,UPRERAPRJ442214,,,,,,,
418319,RERA,PRM/KA/RERA/1251/446/PR/041123/006372,PRM/KA/RERA/1251/446/PR/041123/006372,PRM/KA/RERA/1251/446/PR/041123/006372,PRM/KA/RERA/1251/446/PR/041123/006372,,,,,,,
348347,RERA,P51800023840,P51800023840|09/2027,P51800023840,P51800023840,,,,,,,
387255,RERA,"P51800033618, P51800033984, P51800034053, P51800055488, P51800055625, P51800055830, P51800055987, PR1180002500072","P51800033618, P51800033984, P51800034053","P51800033618, P51800033984","P51800055987, P51800055625, PR1180002500072, P51800033618, P51800055488",,,,,,,
272653,RERA,"P51800003201, P51800003446, P51800004566, P51800005456, P51800006139, P51800006239","P51800003201|-1,P51800003446|12/2026,P51800004566|-1,P51800004566|-1,P51800005456|-1,P51800006139|-1,P51800006239|-1","P51800004566, P51800005456, P51800003446, P51800006139, P51800006239, P51800003201",Not Available,,,,,,,
334709,RERA,P51800021322,P51800021322,P51800021322,P51800021322,,,,,,,
431965,RERA,UPRERAPRJ763929/11/2024,UPRERAPRJ188811/08/2024,UPRERAPRJ188811/08/2024,UPRERAPRJ188811,,,,,,,
