XID,Unit Type,Unit Size,Area Type,Price,Possession Date
r377128,3 BHK,1301 sq.ft,Super Area,55 Lac,Possession by Dec'25
r377128,3 BHK,1307 sq.ft,Super Area,64 Lac,Possession by Dec'25
r377128,3 BHK,1446 sq.ft,Super Area,64 Lac,Possession by Dec'25
r377128,2 BHK,811 sq.ft,Super Area,39 Lac,Possession by Dec'25
r377128,2 BHK,852 sq.ft,Super Area,40 Lac,Possession by Dec'25
r377128,2 BHK,881 sq.ft,Super Area,41 Lac,Possession by Dec'25
r377128,2 BHK,918 sq.ft,Super Area,42 Lac,Possession by Dec'25
r377128,2 BHK,921 sq.ft,Super Area,43 Lac,Possession by Dec'25
r377128,2 BHK,926 sq.ft,Super Area,43 Lac,Possession by Dec'25
r377128,2 BHK,929 sq.ft,Super Area,42 Lac,Possession by Dec'25
r377128,2 BHK,1019 sq.ft,Super Area,45 Lac,Possession by Dec'25
r377128,2 BHK,1025 sq.ft,Super Area,45 Lac,Possession by Dec'25
r26134,Residential plot,1080 sq.ft,Super Area,2.64 Cr,Possession by Jan'13
r26134,Residential plot,1557 sq.ft,Super Area,4.10 Cr,Possession by Jan'13
r26134,Residential plot,1620 sq.ft,Super Area,3.59 Cr,Possession by Jan'13
r26134,Residential plot,1629 sq.ft,Super Area,4.34 Cr,Possession by Jan'13
r26134,Residential plot,1683 sq.ft,Super Area,3.73 Cr,Possession by Jan'13
r26134,Residential plot,1701 sq.ft,Super Area,4.72 Cr,Possession by Jan'13
r26134,Residential plot,1710 sq.ft,Super Area,3.79 Cr,Possession by Jan'13
r26134,Residential plot,1773 sq.ft,Super Area,4.92 Cr,Possession by Jan'13
r26134,Residential plot,1800 sq.ft,Super Area,3.99 Cr,Possession by Jan'13
r26134,Residential plot,1827 sq.ft,Super Area,5.07 Cr,Possession by Jan'13
r26134,Residential plot,1854 sq.ft,Super Area,5.15 Cr,Possession by Jan'13
r26134,Residential plot,2025 sq.ft,Super Area,4.49 Cr,Possession by Jan'13
r26134,Residential plot,2205 sq.ft,Super Area,4.89 Cr,Possession by Jan'13
r26134,Residential plot,2250 sq.ft,Super Area,4.99 Cr,Possession by Jan'13
r26134,Residential plot,2259 sq.ft,Super Area,6.27 Cr,Possession by Jan'13
r26134,Residential plot,2295 sq.ft,Super Area,6.37 Cr,Possession by Jan'13
r26134,Residential plot,2448 sq.ft,Super Area,5.43 Cr,Possession by Jan'13
r26134,Residential plot,2655 sq.ft,Super Area,5.89 Cr,Possession by Jan'13
r26134,Residential plot,2700 sq.ft,Super Area,5.99 Cr,Possession by Jan'13
r26134,Residential plot,2718 sq.ft,Super Area,7.55 Cr,Possession by Jan'13
r26134,Residential plot,2727 sq.ft,Super Area,6.05 Cr,Possession by Jan'13
r26134,Residential plot,2952 sq.ft,Super Area,8.20 Cr,Possession by Jan'13
r26134,Residential plot,3600 sq.ft,Super Area,7.99 Cr,Possession by Jan'13
r26134,Residential plot,4230 sq.ft,Super Area,9.38 Cr,Possession by Jan'13
