District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No.,Actions,
Jaipur,Urban Ananda,GROUP HOUSING,Shivansh Madhav Infrastructure,RAJ-RERA-APP-P-2024-10205,RAJ/P/2024/3445 (31/12/2024),View,
Sikar,Keshav Nagar Residential Scheme,PLOTTED,Sugan Chand,RAJ-RERA-APP-P-2024-10198,RAJ/P/2025/3494 (28/01/2025),View,
Sikar,RAMA VIHAR AAVASIYA YOJANA,PLOTTED,Jagdish Singh,RAJ-RERA-APP-P-2024-10201,RAJ/P/2025/3466 (08/01/2025),View,
Jaipur,Suncity Galleria,PLOTTED,Suncity Projects Private Limited,RAJ-RERA-APP-P-2024-10200,RAJ/P/2025/3455 (02/01/2025),View,
Jaipur,DPM ROYAL ENCLAVE,PLOTTED,Khandelwal Infraheights Private Limited,RAJ-RERA-APP-P-2024-10197,RAJ/P/2025/3504 (03/02/2025),View,
Ajmer,"Chachiyawas Residential (Scheme), Ajmer",PLOTTED,AJMER DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2024-10195,RAJ/P/2025/3471 (10/01/2025),View,
Kota,RAM NAGAR SPECIAL,PLOTTED,KOTA DEVELOPMENT AUTHORITY,RAJ-RERA-APP-P-2024-10192,RAJ/P/2024/3446 (31/12/2024),View,
Jaipur,GT Bellevue,Commercial,R AND R CONSORTIUM PVT. LTD.,RAJ-RERA-APP-P-2024-10191,RAJ/P/2025/3501 (30/01/2025),View,
Jaipur,SHIVALA,GROUP HOUSING,PARSHVANATH REALHOME PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10189,RAJ/P/2025/3460 (07/01/2025),View,
Ajmer,VRINDAVAN VIHAR,PLOTTED,JAGDISH SINGH RATHORE,RAJ-RERA-APP-P-2024-10184,RAJ/P/2025/3465 (03/01/2025),View,
Jaipur,Raghukul Dharohar,PLOTTED,Raghukul Infra Projects,RAJ-RERA-APP-P-2024-10187,RAJ/P/2024/3435 (20/12/2024),View,
Kota,ARIHANT NAGAR,PLOTTED,HEMRAJ LODHA,RAJ-RERA-APP-P-2024-10185,RAJ/P/2024/3448 (31/12/2024),View,
Jaipur,HARIGARH ESTATE PHASE-II,PLOTTED,Ajmer Colonizers Private Limited,RAJ-RERA-APP-P-2024-10188,RAJ/P/2024/3447 (31/12/2024),View,
Jaipur,RIYASAT SANTOSHPURA,PLOTTED,RIYASAT INFRA DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10181,RAJ/P/2024/3428 (13/12/2024),View,
Sawai Madhopur,VINAYAK ENCLAVE,PLOTTED,METHIBHANDARI REAL ESTATE LLP,RAJ-RERA-APP-P-2024-10179,RAJ/P/2024/3449 (31/12/2024),View,
Jaipur,Shree Ram Vatika,PLOTTED,Lallu urf Ramanarayan,RAJ-RERA-APP-P-2024-10178,RAJ/P/2024/3436 (20/12/2024),View,
Jaipur,RAGHUKUL GHARANA,PLOTTED,RAGHUKUL INFRA PROJECTS,RAJ-RERA-APP-P-2024-10180,RAJ/P/2024/3438 (23/12/2024),View,
Jodhpur,ASHAPURNA NRI PHASE-X,PLOTTED,ASHAPURNA BUILDCON LIMITED,RAJ-RERA-APP-P-2024-10177,RAJ/P/2025/3476 (13/01/2025),View,
Sikar,SUNCITY HOME’S RESIDENTIAL SCHEME,PLOTTED,SUMTINATH REAL ESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10176,RAJ/P/2025/3464 (07/01/2025),View,
Jodhpur,Sai Niwas Nagar,PLOTTED,SHANKAR LAL,RAJ-RERA-APP-P-2024-10174,RAJ/P/2024/3432 (19/12/2024),View,
Jodhpur,ASHAPURNA MOHANBAGH-X,PLOTTED,ASHAPURNA BUILDCON LIMITED,RAJ-RERA-APP-P-2024-10173,RAJ/P/2025/3487 (23/01/2025),View,
Kota,RAMAN VATIKA PRIME,PLOTTED,OM PRAKASH NAGAR,RAJ-RERA-APP-P-2024-10170,RAJ/P/2024/3437 (20/12/2024),View,
Sri Ganganagar,RIDHI SIDHI COMMERCIAL HUB BLOCK B,PLOTTED,Saudagar Singh,RAJ-RERA-APP-P-2024-10172,RAJ/P/2025/3492 (27/01/2025),View,
Kota,CENTRAL GREENS,PLOTTED,Horizon Projects And Infrastructure Private Limited,RAJ-RERA-APP-P-2024-10171,RAJ/P/2024/3439 (23/12/2024),View,
Sri Ganganagar,M/s SHRI ANAND DEVELOPERS,PLOTTED,SHRI ANAND DEVELOPERS,RAJ-RERA-APP-P-2024-10166,RAJ/P/2024/3451 (31/12/2024),View,
Sikar,NEW GOVINDAM CITY PHASE - 2,PLOTTED,AAYSHA YADAV,RAJ-RERA-APP-P-2024-10162,RAJ/P/2024/3426 (10/12/2024),View,
Jaipur,SHREE SHYAM HOME,GROUP HOUSING,RAVI BUILDTECH,RAJ-RERA-APP-P-2024-10164,RAJ/P/2024/3440 (23/12/2024),View,
Alwar,Utsav,GROUP HOUSING,NIRMAN BUILDERS,RAJ-RERA-APP-P-2024-10163,RAJ/P/2024/3425 (10/12/2024),View,
Kota,VRB VRINDAVAN CITY,PLOTTED,VRB DEVELOPERS LLP,RAJ-RERA-APP-P-2024-10165,RAJ/P/2024/3417 (04/12/2024),View,
Jodhpur,ROOP SHREE PLAZA,PLOTTED,HANUMAN PRATAP SINGH,RAJ-RERA-APP-P-2024-10159,RAJ/P/2024/3424 (10/12/2024),View,
Jodhpur,Shiv Aditya-Nagar,PLOTTED,Jabraram Chawda,RAJ-RERA-APP-P-2024-10157,RAJ/P/2024/3423 (10/12/2024),View,
Ajmer,CITY CENTRAL,Commercial,PCMD REALTY PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10154,RAJ/P/2024/3441 (23/12/2024),View,
Jaipur,SHREE KALYAN SAGAR BLOCK-A,PLOTTED,Shribhagirath Colonizers And Developers Private Limited,RAJ-RERA-APP-P-2024-10155,RAJ/P/2024/3418 (06/12/2024),View,
Kota,NANDNI VIHAR,PLOTTED,OWAIS CONSTRUCTION COMPANY PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10152,RAJ/P/2025/3457 (02/01/2025),View,
Sikar,Hanuman Nagar,PLOTTED,Bajrang Lal Saini,RAJ-RERA-APP-P-2024-10143,RAJ/P/2024/3416 (04/12/2024),View,
Jaipur,PINK OAKS,GROUP HOUSING,SIDDHARTH ASSOCIATES,RAJ-RERA-APP-P-2024-10146,RAJ/P/2025/3489 (23/01/2025),View,
Ajmer,KHASRA NO 1248 MAKADWALI,PLOTTED,Santra Devi,RAJ-RERA-APP-P-2024-10142,RAJ/P/2024/3392 (28/11/2024),View,
Jaipur,Palmera Garden Phase - 1,PLOTTED,JAINA INDIA INFRAEDGE LLP,RAJ-RERA-APP-P-2024-10140,RAJ/P/2024/3427 (10/12/2024),View,
Jaipur,UDITA,GROUP HOUSING,Shree Krishna Construction Company,RAJ-RERA-APP-P-2024-10141,RAJ/P/2025/3480 (15/01/2025),View,
Jaipur,SHRIDHAR CITY PRIME-II,PLOTTED,Mahesh Kumar Jaju,RAJ-RERA-APP-P-2024-10138,RAJ/P/2024/3385 (21/11/2024),View,
Udaipur,AADI-SHIV HEIGHTS,GROUP HOUSING,AADI-SHIV INFRA BUILDERS PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10139,RAJ/P/2024/3421 (07/12/2024),View,
Jaipur,"""GOVERDHAN VATIKA""",PLOTTED,Bordiya Balaji Builders And Developers Private Limited,RAJ-RERA-APP-P-2024-10137,RAJ/P/2024/3384 (21/11/2024),View,
Jaipur,SANJEEVNI GREEN VIHAR PHASE-V,PLOTTED,Sanjeevni Buildhome,RAJ-RERA-APP-P-2024-10135,RAJ/P/2024/3452 (31/12/2024),View,
Jaipur,SHRIDHAR CITY PRIME,PLOTTED,Mahesh Kumar Jaju,RAJ-RERA-APP-P-2024-10134,RAJ/P/2024/3383 (21/11/2024),View,
Jodhpur,SHREE MAHAVEER RESIDENCY,PLOTTED,RATANA RAM,RAJ-RERA-APP-P-EXEM-2024-48,RAJ/RERAExempted Project/2024/040 (31/12/2024),View,
